tweet_id,retweet_count,favorite_count 
784517518371221505,2777,9578
784431430411685888,1403,6083
784183165795655680,8825,21499
784057939640352768,12200,31948
783839966405230592,11820,32119
783821107061198850,2142,7854
783695101801398276,3526,11160
783466772167098368,2465,9025
783391753726550016,6023,18018
783347506784731136,6129,0
783334639985389568,12811,31222
783085703974514689,2430,8686
782969140009107456,8039,25757
782747134529531904,1523,7971
782722598790725632,5904,18462
782598640137187329,2046,8300
782305867769217024,6096,17797
782021823840026624,6829,0
781955203444699136,3675,11864
781661882474196992,2960,11148
781655249211752448,1227,4272
781524693396357120,6059,22150
781308096455073793,2783,7599
781251288990355457,2293,9005
781163403222056960,2988,10416
780931614150983680,8019,23101
780858289093574656,2185,7677
780800785462489090,1415,5870
780601303617732608,3637,12895
780543529827336192,1895,6726
780496263422808064,4057,0
780476555013349377,127,0
780459368902959104,1168,5638
780192070812196864,2440,9284
780092040432480260,2512,0
780074436359819264,5448,13063
779834332596887552,7746,20248
779377524342161408,3398,9401
779124354206535695,20107,0
779123168116150273,3975,12579
779056095788752897,4941,15776
778990705243029504,7930,21344
778774459159379968,10890,0
778764940568104960,401,914
778748913645780993,1449,7352
778650543019483137,1626,6148
778624900596654080,1100,4951
778408200802557953,4746,14556
778396591732486144,13362,0
778383385161035776,1206,6218
778286810187399168,3601,11081
778039087836069888,2872,9023
778027034220126208,1767,6981
777953400541634568,3846,0
777885040357281792,1789,6772
777684233540206592,3213,11961
777641927919427584,4634,0
777621514455814149,2716,9346
777189768882946048,4722,15258
776819012571455488,15001,0
776813020089548800,1319,5195
776477788987613185,3046,9423
776249906839351296,9965,0
776218204058357768,17395,31971
776201521193218049,2746,10215
776113305656188928,4743,12512
776088319444877312,166,1947
775898661951791106,17897,0
775842724423557120,2915,12475
775733305207554048,4366,14747
775729183532220416,4977,13752
775364825476165632,3235,7906
775350846108426240,4248,10794
775085132600442880,5149,16543
774757898236878852,1927,9097
774639387460112384,1887,7140
774314403806253056,6071,23161
773985732834758656,4221,11418
773922284943896577,1881,6800
773704687002451968,1774,7021
773670353721753600,1408,5656
773547596996571136,6702,23483
773336787167145985,5538,0
773308824254029826,8122,24715
773247561583001600,3491,10018
773191612633579521,4467,10615
772877495989305348,4210,9111
772826264096874500,2531,8495
772615324260794368,3669,0
772581559778025472,1838,6880
772193107915964416,1502,6387
772152991789019136,1214,4018
772117678702071809,798,3991
772114945936949249,512,2885
772102971039580160,1006,4254
771908950375665664,2055,6985
771770456517009408,3690,12748
771500966810099713,2851,8792
771380798096281600,5538,11168
771171053431250945,8213,0
771136648247640064,3187,9750
771102124360998913,1559,6628
771014301343748096,1803,7301
771004394259247104,239,0
770787852854652928,1322,5264
770772759874076672,1531,5509
770655142660169732,1891,7777
770414278348247044,2238,6680
770293558247038976,1615,6628
770093767776997377,3297,0
770069151037685760,2495,8054
769940425801170949,10476,33404
769695466921623552,1798,6779
769335591808995329,8351,0
769212283578875904,1862,5726
768970937022709760,7098,15304
768909767477751808,2927,0
768855141948723200,962,4447
768609597686943744,1316,4366
768596291618299904,1383,5327
768554158521745409,6315,0
768473857036525572,3714,14476
768193404517830656,3846,11576
767884188863397888,1522,5043
767754930266464257,5840,17003
767500508068192258,2528,7939
767191397493538821,4130,13013
767122157629476866,3091,10746
766864461642756096,6131,0
766793450729734144,1469,5384
766714921925144576,419,2762
766693177336135680,856,4275
766423258543644672,1732,6388
766313316352462849,2039,7185
766078092750233600,2820,0
766069199026450432,934,4538
